"driverId","driverExpYears","qualiResultPosition","meanPace","maxPace","grid_penalty","is_top_5"
13,14,10,94786.6666666667,95267,0,"FALSE"
18,16,9,94738.6666666667,95267,0,"FALSE"
20,9,5,94037.6666666667,94557,0,"FALSE"
154,7,12,95200.5,95400,0,"FALSE"
807,6,8,94585.6666666667,94827,0,"FALSE"
815,5,7,94641.6666666667,95068,0,"FALSE"
817,5,4,94144.6666666667,95079,0,"TRUE"
821,3,13,95377.5,95658,0,"FALSE"
822,3,11,94871.5,95166,0,"TRUE"
825,2,14,95435,95593,0,"FALSE"
826,2,15,95532,95695,0,"FALSE"
828,2,17,95816,95816,0,"FALSE"
830,1,3,94212.6666666667,95443,0,"TRUE"
831,1,18,95949,95949,0,"FALSE"
832,1,16,95489.5,95605,0,"FALSE"
835,0,19,95999,95999,0,"FALSE"
836,0,21,96587,96587,0,"FALSE"
839,0,20,96451,96451,0,"FALSE"
1,9,2,91335.6666666667,92218,0,"TRUE"
3,10,1,91073,91858,0,"TRUE"
4,15,15,92754,92819,0,"FALSE"
8,15,3,91343,91674,1,"TRUE"
13,14,12,92471,92562,0,"FALSE"
18,16,17,92851,92851,1,"FALSE"
20,9,4,91304.6666666667,91659,1,"TRUE"
154,7,8,92198.3333333333,92458,1,"FALSE"
807,6,9,92263.3333333333,92448,0,"FALSE"
815,5,7,92293.3333333333,92682,1,"FALSE"
817,5,6,91832.3333333333,92538,1,"FALSE"
821,3,10,92440.6666666667,92620,0,"FALSE"
822,3,11,92349,92383,0,"FALSE"
825,2,18,93023,93023,1,"FALSE"
826,2,13,92634,92645,0,"FALSE"
828,2,19,93222,93222,1,"FALSE"
830,1,5,91718,92487,1,"TRUE"
831,1,20,93332,93332,1,"FALSE"
832,1,14,92737,92789,0,"FALSE"
835,0,16,92801.5,92807,0,"FALSE"
836,0,22,93561,93561,1,"FALSE"
839,0,21,93353,93353,1,"FALSE"
1,9,1,95915,96450,0,"TRUE"
3,10,2,95987.6666666667,96397,0,"TRUE"
4,15,12,97665,97913,0,"TRUE"
8,15,5,96566.6666666667,96985,0,"FALSE"
13,14,9,97295,97402,0,"FALSE"
18,16,19,98327,98327,0,"FALSE"
20,9,6,96657,97151,0,"TRUE"
154,7,17,98308,98308,0,"FALSE"
807,6,7,96734.6666666667,96950,0,"FALSE"
815,5,11,97349,97353,0,"FALSE"
817,5,3,96174.3333333333,96759,0,"TRUE"
821,3,14,97913,98053,0,"FALSE"
822,3,8,97258,97456,0,"FALSE"
825,2,18,98317,98317,0,"FALSE"
826,2,13,97662,97844,0,"FALSE"
828,2,16,98698,99356,0,"FALSE"
830,1,4,96405.6666666667,96857,0,"FALSE"
831,1,21,98583,98583,0,"FALSE"
832,1,10,97415,97744,0,"FALSE"
835,0,15,98009.5,98084,0,"FALSE"
836,0,20,98548,98548,0,"FALSE"
839,0,22,98806,98806,0,"FALSE"
1,9,1,79096,79447,0,"TRUE"
3,10,2,79571.6666666667,79996,0,"TRUE"
4,15,11,80417,80552,0,"FALSE"
8,15,6,79622,79936,0,"FALSE"
13,14,9,80202,80423,0,"FALSE"
18,16,13,81003,81333,0,"FALSE"
20,9,7,79543.6666666667,79865,0,"TRUE"
154,7,21,81916,81916,1,"FALSE"
807,6,5,79899.3333333333,80599,0,"FALSE"
815,5,12,80297.5,80308,0,"FALSE"
817,5,4,79466.3333333333,79713,0,"TRUE"
821,3,17,81401,81401,0,"FALSE"
822,3,8,79949,80338,0,"FALSE"
825,2,14,81192.5,81254,0,"FALSE"
826,2,18,81454,81454,0,"FALSE"
828,2,15,81299,81536,0,"FALSE"
830,1,3,79300,79874,0,"TRUE"
831,1,19,81692,81692,0,"FALSE"
832,1,10,80334.6666666667,80457,0,"FALSE"
836,0,16,81574,81785,0,"FALSE"
839,0,20,81881,81881,0,"FALSE"
1,9,1,71161.6666666667,71511,0,"TRUE"
3,10,2,71342,71815,0,"TRUE"
4,15,10,72426,72700,0,"FALSE"
8,15,3,71935,72301,0,"FALSE"
13,14,13,72476.5,72521,0,"FALSE"
18,16,17,73276,73276,0,"FALSE"
20,9,5,71888,72159,0,"TRUE"
154,7,7,72391,72893,0,"FALSE"
807,6,8,72297.3333333333,72428,0,"FALSE"
815,5,9,72393.3333333333,72684,0,"TRUE"
817,5,6,71998.6666666667,72409,0,"FALSE"
821,3,12,72741.5,73052,0,"FALSE"
822,3,11,72550,72680,0,"FALSE"
825,2,18,73410,73410,0,"FALSE"
826,2,14,72898.5,73071,0,"FALSE"
828,2,21,73623,73623,1,"FALSE"
830,1,4,71758.6666666667,71957,0,"TRUE"
831,1,22,73681,73681,1,"FALSE"
832,1,15,72935,72950,0,"FALSE"
835,0,16,73258.5,73259,0,"FALSE"
836,0,19,73427,73427,0,"FALSE"
839,0,20,73432,73432,1,"FALSE"
1,9,1,99208,99487,0,"TRUE"
3,10,2,99686.3333333333,100511,0,"TRUE"
4,15,9,101255.333333333,101616,0,"FALSE"
8,15,4,99857,100338,0,"FALSE"
13,14,10,101076,101213,0,"FALSE"
18,16,12,101215,101272,0,"FALSE"
20,9,5,100012,100341,0,"TRUE"
154,7,14,101515.5,101564,0,"FALSE"
807,6,7,100736.666666667,101000,0,"FALSE"
815,5,8,100708.666666667,100864,0,"FALSE"
817,5,3,100340,101002,0,"TRUE"
821,3,13,101559.5,101639,0,"FALSE"
822,3,11,101138,101192,0,"FALSE"
825,2,18,102142,102142,0,"FALSE"
